rank,zip,population,income,startups,national_rank,ca,unit,station,line,income_index,startups_index,income_prop,startups_prop
24,10025,97086,49733,1,6044,R314,N037,103 ST,BC,0.99,0.09,0.03,0.0
24,10025,97086,49733,1,6044,R192,R172,110 ST-CATHEDRL,1,0.99,0.09,0.03,0.0
24,10025,97086,49733,1,6044,R192,R171,110 ST-CATHEDRL,1,0.99,0.09,0.03,0.0
24,10025,97086,49733,1,6044,R164,R160A,66 ST-LINCOLN,1,0.99,0.09,0.03,0.0
24,10025,97086,49733,1,6044,R164,R159,66 ST-LINCOLN,1,0.99,0.09,0.03,0.0
24,10025,97086,49733,1,6044,R164,R160,66 ST-LINCOLN,1,0.99,0.09,0.03,0.0
24,10025,97086,49733,1,6044,R168,R168A,96 ST,123,0.99,0.09,0.03,0.0
24,10025,97086,49733,1,6044,R168,R168,96 ST,123,0.99,0.09,0.03,0.0
24,10025,97086,49733,1,6044,R251,N040,96 ST,BC,0.99,0.09,0.03,0.0
24,10025,97086,49733,1,6044,R251,N039,96 ST,BC,0.99,0.09,0.03,0.0
25,10018,4255,48705,23,6447,R054,R501,5 AVE-BRYANT PK,7BDFM,0.97,2.07,0.03,0.05
25,10018,4255,48705,23,6447,R054,R500,5 AVE-BRYANT PK,7BDFM,0.97,2.07,0.03,0.05
26,10036,18751,41002,18,11152,R010,N062A,42 ST-PA BUS TE,ACENQRS1237,0.82,1.62,0.02,0.04
26,10036,18751,41002,18,11152,R010,N060,42 ST-PA BUS TE,ACENQRS1237,0.82,1.62,0.02,0.04
26,10036,18751,41002,18,11152,R011,N063A,42 ST-PA BUS TE,ACENQRS1237,0.82,1.62,0.02,0.04
26,10036,18751,41002,18,11152,R011,N062,42 ST-PA BUS TE,ACENQRS1237,0.82,1.62,0.02,0.04
26,10036,18751,41002,18,11152,R011,N063,42 ST-PA BUS TE,ACENQRS1237,0.82,1.62,0.02,0.04
26,10036,18751,41002,18,11152,R020,N500,47-50 ST-ROCK,BDFM,0.82,1.62,0.02,0.04
26,10036,18751,41002,18,11152,R020,N501,47-50 ST-ROCK,BDFM,0.82,1.62,0.02,0.04
26,10036,18751,41002,18,11152,R020,N501A,47-50 ST-ROCK,BDFM,0.82,1.62,0.02,0.04
27,10001,17310,40932,44,11228,R272,R133,28 ST,1,0.81,3.96,0.02,0.1
27,10001,17310,40932,44,11228,R272,R134,28 ST,1,0.81,3.96,0.02,0.1
27,10001,17310,40932,44,11228,R082,A029,28 ST-BROADWAY,NR,0.81,3.96,0.02,0.1
27,10001,17310,40932,44,11228,R082,A027,28 ST-BROADWAY,NR,0.81,3.96,0.02,0.1
27,10001,17310,40932,44,11228,R022,A022,34 ST-HERALD SQ,BDFMNQR,0.81,3.96,0.02,0.1
27,10001,17310,40932,44,11228,R022,N506,34 ST-HERALD SQ,BDFMNQR,0.81,3.96,0.02,0.1
27,10001,17310,40932,44,11228,R022,N505,34 ST-HERALD SQ,BDFMNQR,0.81,3.96,0.02,0.1
27,10001,17310,40932,44,11228,R023,A025,34 ST-HERALD SQ,BDFMNQR,0.81,3.96,0.02,0.1
27,10001,17310,40932,44,11228,R023,N507,34 ST-HERALD SQ,BDFMNQR,0.81,3.96,0.02,0.1
27,10001,17310,40932,44,11228,R012,N067,34 ST-PENN STA,ACE,0.81,3.96,0.02,0.1
27,10001,17310,40932,44,11228,R012,N065,34 ST-PENN STA,ACE,0.81,3.96,0.02,0.1
27,10001,17310,40932,44,11228,R012,N068,34 ST-PENN STA,ACE,0.81,3.96,0.02,0.1
27,10001,17310,40932,44,11228,R012,N070,34 ST-PENN STA,ACE,0.81,3.96,0.02,0.1
27,10001,17310,40932,44,11228,R012,N072,34 ST-PENN STA,ACE,0.81,3.96,0.02,0.1
27,10001,17310,40932,44,11228,R013,N071,34 ST-PENN STA,ACE,0.81,3.96,0.02,0.1
27,10001,17310,40932,44,11228,R013,N069,34 ST-PENN STA,ACE,0.81,3.96,0.02,0.1
27,10001,17310,40932,44,11228,R013,N073,34 ST-PENN STA,ACE,0.81,3.96,0.02,0.1
27,10001,17310,40932,44,11228,R031,R141,34 ST-PENN STA,123,0.81,3.96,0.02,0.1
27,10001,17310,40932,44,11228,R031,R135,34 ST-PENN STA,123,0.81,3.96,0.02,0.1
27,10001,17310,40932,44,11228,R031,R137,34 ST-PENN STA,123,0.81,3.96,0.02,0.1
27,10001,17310,40932,44,11228,R031,R139,34 ST-PENN STA,123,0.81,3.96,0.02,0.1
27,10001,17310,40932,44,11228,R293,R138,34 ST-PENN STA,123ACE,0.81,3.96,0.02,0.1
27,10001,17310,40932,44,11228,R293,R142,34 ST-PENN STA,123ACE,0.81,3.96,0.02,0.1
28,10009,58595,40176,2,11980,R248,H007,1 AVE,L,0.8,0.18,0.02,0.0
28,10009,58595,40176,2,11980,R248,H008,1 AVE,L,0.8,0.18,0.02,0.0
29,10013,25042,38304,51,13643,R118,A066,CANAL ST,JNQRZ6,0.76,4.59,0.02,0.12
29,10013,25042,38304,51,13643,R139,N089,CANAL ST,ACE,0.76,4.59,0.02,0.12
29,10013,25042,38304,51,13643,R139,N090,CANAL ST,ACE,0.76,4.59,0.02,0.12
29,10013,25042,38304,51,13643,R320,R119,CANAL ST,1,0.76,4.59,0.02,0.12
29,10013,25042,38304,51,13643,R320,R120,CANAL ST,1,0.76,4.59,0.02,0.12
29,10013,25042,38304,51,13643,R462,A043,CANAL ST,JNQRZ6,0.76,4.59,0.02,0.12
29,10013,25042,38304,51,13643,R462,A044,CANAL ST,JNQRZ6,0.76,4.59,0.02,0.12
29,10013,25042,38304,51,13643,R463,A046,CANAL ST,JNQRZ6,0.76,4.59,0.02,0.12
29,10013,25042,38304,51,13643,R463,R214,CANAL ST,JNQRZ6,0.76,4.59,0.02,0.12
29,10013,25042,38304,51,13643,R343,R117,FRANKLIN ST,1,0.76,4.59,0.02,0.12
29,10013,25042,38304,51,13643,R343,R118,FRANKLIN ST,1,0.76,4.59,0.02,0.12
30,10033,58259,31348,0,21836,R126,N010,175 ST,A,0.62,0.0,0.02,0.0
30,10033,58259,31348,0,21836,R126,N011,175 ST,A,0.62,0.0,0.02,0.0
30,10033,58259,31348,0,21836,R174,N007A,181 ST,A,0.62,0.0,0.02,0.0
30,10033,58259,31348,0,21836,R174,N009,181 ST,A,0.62,0.0,0.02,0.0
30,10033,58259,31348,0,21836,R260,R183,181 ST,1,0.62,0.0,0.02,0.0
31,10038,15574,31316,3,21877,R002,A077,FULTON ST,ACJZ2345,0.62,0.27,0.02,0.01
31,10038,15574,31316,3,21877,R002,A081,FULTON ST,ACJZ2345,0.62,0.27,0.02,0.01
31,10038,15574,31316,3,21877,R002,A082,FULTON ST,ACJZ2345,0.62,0.27,0.02,0.01
31,10038,15574,31316,3,21877,R014,N095,FULTON ST,ACJZ2345,0.62,0.27,0.02,0.01
31,10038,15574,31316,3,21877,R014,R205,FULTON ST,ACJZ2345,0.62,0.27,0.02,0.01
31,10038,15574,31316,3,21877,R014,R206,FULTON ST,2345ACJZ,0.62,0.27,0.02,0.01
31,10038,15574,31316,3,21877,R014,R208,FULTON ST,2345ACJZ,0.62,0.27,0.02,0.01
31,10038,15574,31316,3,21877,R014,R205A,FULTON ST,2345ACJZ,0.62,0.27,0.02,0.01
31,10038,15574,31316,3,21877,R028,R113A,FULTON ST,2345ACJZ,0.62,0.27,0.02,0.01
31,10038,15574,31316,3,21877,R028,R113,FULTON ST,2345ACJZ,0.62,0.27,0.02,0.01
31,10038,15574,31316,3,21877,R028,R114,FULTON ST,2345ACJZ,0.62,0.27,0.02,0.01
31,10038,15574,31316,3,21877,R027,R111,WALL ST,23,0.62,0.27,0.02,0.01
31,10038,15574,31316,3,21877,R027,R110,WALL ST,23,0.62,0.27,0.02,0.01
31,10038,15574,31316,3,21877,R027,R112,WALL ST,23,0.62,0.27,0.02,0.01
31,10038,15574,31316,3,21877,R027,R112A,WALL ST,23,0.62,0.27,0.02,0.01
32,10034,41756,29479,0,24169,R037,R188,207 ST,1,0.59,0.0,0.02,0.0
32,10034,41756,29479,0,24169,R038,R190,215 ST,1,0.59,0.0,0.02,0.0
32,10034,41756,29479,0,24169,R185,N003,DYCKMAN-200 ST,A,0.59,0.0,0.02,0.0
32,10034,41756,29479,0,24169,R173,N002A,INWOOD-207 ST,A,0.59,0.0,0.02,0.0
32,10034,41756,29479,0,24169,R173,N001,INWOOD-207 ST,A,0.59,0.0,0.02,0.0
33,10040,46599,27905,0,25782,R280,N006A,190 ST,A,0.56,0.0,0.01,0.0
33,10040,46599,27905,0,25782,R274,R185,191 ST,1,0.56,0.0,0.01,0.0
33,10040,46599,27905,0,25782,R036,R186,DYCKMAN ST,1,0.56,0.0,0.01,0.0
34,10037,16984,26561,0,27057,R207,R306,135 ST,23,0.53,0.0,0.01,0.0
34,10037,16984,26561,0,27057,R207,R307,135 ST,23,0.53,0.0,0.01,0.0
34,10037,16984,26561,0,27057,R144,R251,96 ST,6,0.53,0.0,0.01,0.0
35,10032,63842,26237,0,27371,R331,N017,155 ST,C,0.52,0.0,0.01,0.0
35,10032,63842,26237,0,27371,R193,R180,157 ST,1,0.52,0.0,0.01,0.0
35,10032,63842,26237,0,27371,R193,R179,157 ST,1,0.52,0.0,0.01,0.0
35,10032,63842,26237,0,27371,R296,N016A,163 ST-AMSTERDM,C,0.52,0.0,0.01,0.0
35,10032,63842,26237,0,27371,R035,N012,168 ST-BROADWAY,1AC,0.52,0.0,0.01,0.0
35,10032,63842,26237,0,27371,R035,N013,168 ST-BROADWAY,AC1,0.52,0.0,0.01,0.0
35,10032,63842,26237,0,27371,R035,R182,168 ST-BROADWAY,1AC,0.52,0.0,0.01,0.0
36,10031,60221,24285,0,28645,R169,R176,137 ST-CITY COL,1,0.48,0.0,0.01,0.0
36,10031,60221,24285,0,28645,R169,R175,137 ST-CITY COL,1,0.48,0.0,0.01,0.0
36,10031,60221,24285,0,28645,R101,N020,145 ST,ABCD,0.48,0.0,0.01,0.0
36,10031,60221,24285,0,28645,R101,N019,145 ST,ABCD,0.48,0.0,0.01,0.0
36,10031,60221,24285,0,28645,R273,R178,145 ST,1,0.48,0.0,0.01,0.0
36,10031,60221,24285,0,28645,R273,R177,145 ST,1,0.48,0.0,0.01,0.0
37,10002,84870,24022,3,28798,R300,N523,2 AVE,F,0.48,0.27,0.01,0.01
37,10002,84870,24022,3,28798,R300,N521,2 AVE,F,0.48,0.27,0.01,0.01
37,10002,84870,24022,3,28798,R142,N525,DELANCEY ST,FJMZ,0.48,0.27,0.01,0.01
37,10002,84870,24022,3,28798,R142,N526,DELANCEY ST,FJMZ,0.48,0.27,0.01,0.01
37,10002,84870,24022,3,28798,R257,N529,EAST BROADWAY,F,0.48,0.27,0.01,0.01
37,10002,84870,24022,3,28798,R257,N528,EAST BROADWAY,F,0.48,0.27,0.01,0.01
37,10002,84870,24022,3,28798,R142,A061,ESSEX ST,FJMZ,0.48,0.27,0.01,0.01
37,10002,84870,24022,3,28798,R240,N520,GRAND ST,BD,0.48,0.27,0.01,0.01
38,10027,56168,23150,0,29273,R159,R173,116 ST-COLUMBIA,1,0.46,0.0,0.01,0.0
38,10027,56168,23150,0,29273,R034,R174,125 ST,1,0.46,0.0,0.01,0.0
38,10027,56168,23150,0,29273,R102,N026,125 ST,ACBD,0.46,0.0,0.01,0.0
38,10027,56168,23150,0,29273,R102,N025,125 ST,ACBD,0.46,0.0,0.01,0.0
