rank,zip,population,income,startups,national_rank,unit,ca,station,line,income_index,startups_index,income_prop,startups_prop,total entries
21,10012,26000,58313,34,3310,R322,R215,SPRING ST,6,1.16,3.06,0.03,0.08,1008083
21,10012,26000,58313,34,3310,R322,R216,SPRING ST,6,1.16,3.06,0.03,0.08,184642
22,10019,36012,55869,8,3901,R203,N509,23 ST-6 AVE,FM,1.11,0.72,0.03,0.02,1486369
22,10019,36012,55869,8,3901,R021,N503,42 ST-BRYANT PK,BDFM7,1.11,0.72,0.03,0.02,968173
22,10019,36012,55869,8,3901,R021,N502,42 ST-BRYANT PK,BDFM7,1.11,0.72,0.03,0.02,1319612
22,10019,36012,55869,8,3901,R021,N504,42 ST-BRYANT PK,BDFM7,1.11,0.72,0.03,0.02,1628549
22,10019,36012,55869,8,3901,R032,A021,42 ST-TIMES SQ,1237ACENQRS,1.11,0.72,0.03,0.02,1166761
22,10019,36012,55869,8,3901,R032,R145,42 ST-TIMES SQ,1237ACENQRS,1.11,0.72,0.03,0.02,1209506
22,10019,36012,55869,8,3901,R032,R143,42 ST-TIMES SQ,ACENQRS1237,1.11,0.72,0.03,0.02,1378311
22,10019,36012,55869,8,3901,R033,R151,42 ST-TIMES SQ,1237ACENQRS,1.11,0.72,0.03,0.02,2891674
22,10019,36012,55869,8,3901,R033,R148,42 ST-TIMES SQ,1237ACENQRS,1.11,0.72,0.03,0.02,1607331
22,10019,36012,55869,8,3901,R033,R147,42 ST-TIMES SQ,1237ACENQRS,1.11,0.72,0.03,0.02,2362134
22,10019,36012,55869,8,3901,R081,A015,49 ST-7 AVE,NQR,1.11,0.72,0.03,0.02,1068565
22,10019,36012,55869,8,3901,R081,A013,49 ST-7 AVE,NQR,1.11,0.72,0.03,0.02,737558
22,10019,36012,55869,8,3901,R081,A014,49 ST-7 AVE,NQR,1.11,0.72,0.03,0.02,196381
22,10019,36012,55869,8,3901,R081,A016,49 ST-7 AVE,NQR,1.11,0.72,0.03,0.02,404836
22,10019,36012,55869,8,3901,R116,R154,50 ST,1,1.11,0.72,0.03,0.02,1273989
22,10019,36012,55869,8,3901,R116,R155,50 ST,1,1.11,0.72,0.03,0.02,1254629
22,10019,36012,55869,8,3901,R188,N057,50 ST,CE,1.11,0.72,0.03,0.02,1265314
22,10019,36012,55869,8,3901,R188,N056,50 ST,CE,1.11,0.72,0.03,0.02,875405
22,10019,36012,55869,8,3901,R302,N600,57 ST,F,1.11,0.72,0.03,0.02,1463261
22,10019,36012,55869,8,3901,R080,A010,57 ST-7 AVE,NQR,1.11,0.72,0.03,0.02,1728168
22,10019,36012,55869,8,3901,R080,A011,57 ST-7 AVE,NQR,1.11,0.72,0.03,0.02,507603
22,10019,36012,55869,8,3901,R113,N301,7 AVE-53 ST,BDE,1.11,0.72,0.03,0.02,1044596
22,10019,36012,55869,8,3901,R113,N300,7 AVE-53 ST,BDE,1.11,0.72,0.03,0.02,679242
22,10019,36012,55869,8,3901,R541,PTH17,THIRTY THIRD ST,1,1.11,0.72,0.03,0.02,2374930
23,10044,9520,49976,0,5953,R259,N602,ROOSEVELT IS,F,0.99,0.0,0.03,0.0,598414
